CSA2010,eattend15,mattend15,hsattend15,aastud15,wstud15,hstud15,abse15,absmd15,abshs15,drop15,compl15,sclsw15,sclemp15,eenrol15,menrol15,hsenrol15,pmath315,pread315,pmath515,pread515,pmath815,pread815
Community Statistical Areas (CSAs),Number of Students Ever Attended 1st - 5th Grade,Number of Students Ever Attended 6th - 8th Grade,Number of Students Ever Attended 9th - 12th Grade,Percent of Students that are African American,Percent of Students that are White (non-Hispanic),Percent of Students that are Hispanic,Percent of 1st-5th Grade Students that are Chronically Absent (Missing at least 20 days),Percent of 6th-8th Grade Students that are Chronically Absent (Missing at least 20 days),Percent of 9th-12th Grade Students that are Chronically Absent (Missing at least 20 days),High School Dropout/Withdrawal Rate,High School Completion Rate,Percent of Students Switching Schools within School Year,Percentage of Population aged 16-19 in School and/or Employed,Number of Students Officially Enrolled in 1st - 5th Grade,Number of Students Officially Enrolled in 6th - 8th Grade,Number of Students Officially Enrolled in 9th - 12th Grade,Percentage of 3rd Grade Students who met or exceeded PARCC Math,Percentage of 3rd Grade Students who met or exceeded PARCC Reading,Percentage of 5th Grade Students who met or exceeded PARCC Math,Percentage of 5th Grade Students who met or exceeded PARCC Reading,Percentage of 8th Grade Students who met or exceeded PARCC Math,Percentage of 8th Grade Students who met or exceeded PARCC Reading
Clifton-Berea,748,379,496,97.41219963,1.170671596,1.23228589,17.64705882,24.53825858,46.97580645,4.838709677,63.80952381,10.59073976,75.36231884,731,374,522,6.41025641,10.32258065,0.735294118,4.411764706,0,3.125
Cross-Country/Cheswolde,214,133,139,79.218107,10.08230453,6.790123457,6.542056075,17.29323308,22.30215827,2.158273381,95,2.826855124,95.72763685,200,128,129,36.36363636,41.17647059,15.38461538,25.64102564,8,31.25
Dickeyville/Franklintown,229,87,130,97.75784753,1.121076233,0.67264574,17.03056769,9.195402299,36.15384615,3.076923077,78.94736842,5.303030303,88.54961832,213,81,127,26.82926829,31.70731707,8.888888889,6.666666667,0,13.63636364
Dorchester/Ashburton,656,344,478,97.29546991,0.676132522,1.555104801,19.05487805,20.86956522,35.35564854,2.30125523,79.6875,7.318501171,95.10309278,628,333,470,15.17857143,29.46428571,9.433962264,12.26415094,4.12371134,7.843137255
Downtown/Seton Hill,120,68,62,77.2,12.8,4.4,21.66666667,17.64705882,45.16129032,6.451612903,90,7.534246575,91.26213592,113,63,66,15,10.52631579,0,5.555555556,9.090909091,23.07692308
Edmondson Village,471,269,425,98.2832618,0.600858369,1.030042918,14.01273885,15.24163569,40.47058824,4,78.07017544,7.75988287,82.3255814,465,261,415,12.87128713,19,10.38961039,7.792207792,5.405405405,9.87654321
Fells Point,224,67,96,22.73901809,27.90697674,46.51162791,7.589285714,16.41791045,44.79166667,5.208333333,72.72727273,2.401746725,71.69811321,210,63,94,14.89361702,27.65957447,13.95348837,25.58139535,33.33333333,23.80952381
Forest Park/Walbrook,623,325,455,97.29151818,0.85531005,1.639344262,12.19903692,16,37.8021978,1.758241758,75.28089888,7.496902107,86.13333333,596,312,450,15.625,24.21875,14.89361702,8.510638298,5.319148936,8.653846154
Glen-Fallstaff,648,395,462,80.59800664,4.850498339,13.02325581,13.58024691,18.48101266,32.25108225,0.865800866,82.0754717,5.925925926,85.67901235,624,382,445,21.64179104,23.88059701,11.49425287,16.09195402,4.424778761,17.55725191
Greater Charles Village/Barclay,390,186,231,82.52788104,8.178438662,5.700123916,12.82051282,15.59139785,39.82683983,2.164502165,83.33333333,7.512690355,97.52616556,379,183,240,21.42857143,22.85714286,16.39344262,13.1147541,5.660377358,17.46031746
Greater Govans,699,389,512,96.3125,2.0625,0.9375,13.44778255,12.08226221,39.6484375,2.734375,81.65137615,7.291666667,68.57585139,690,384,511,14.48275862,18.62068966,5.64516129,12.09677419,3.96039604,8.333333333
Greater Mondawmin,610,273,445,98.11746988,0.903614458,0.677710843,16.39344262,16.48351648,37.75280899,2.247191011,75,6.559485531,69.79768786,592,263,434,17.94871795,24.78632479,11.9266055,8.256880734,4.347826087,3.896103896
Greater Roland Park/Poplar Hill,249,98,89,21.78899083,62.3853211,3.211009174,2.81124498,2.040816327,5.617977528,0,92.85714286,0.592885375,100,239,96,88,81.25,85.41666667,61.53846154,67.30769231,0,68.96551724
Greater Rosemont,1453,719,1046,98.01180491,0.590245418,1.118359739,16.58637302,15.41666667,45.21988528,4.110898662,71.22641509,9.75224038,69.53441296,1399,707,1053,10.86142322,12.45283019,5.776173285,6.859205776,4.524886878,7.327586207
Greenmount East,644,300,427,97.59299781,0.510576222,1.458789205,22.67080745,24.33333333,50.35128806,7.025761124,77.27272727,9.007912355,67.37804878,624,295,446,11.66666667,14.28571429,2.97029703,7.920792079,3.529411765,4.494382022
Hamilton,645,384,491,86.05263158,10.32894737,1.907894737,12.09302326,11.71875,27.90224033,1.83299389,79.7979798,5.631399317,97.97979798,622,374,484,16.66666667,24.16666667,8.148148148,13.33333333,4.347826087,21.48148148
Harbor East/Little Italy,415,184,213,88.54679803,2.093596059,8.620689655,15.90361446,15.76086957,44.60093897,3.286384977,54.54545455,7.570977918,77.08978328,405,177,215,13.18681319,16.48351648,7.547169811,7.547169811,3.571428571,7.272727273
Harford/Echodale,769,448,545,84.79001135,9.931895573,4.48354143,11.18335501,14.0625,26.23853211,2.018348624,82.90598291,5.268340719,90.29850746,742,429,536,30.82706767,30.07518797,16.52892562,15,4.032258065,23.17880795
Highlandtown,357,143,158,16.10942249,18.69300912,62.46200608,12.60504202,16.78321678,39.24050633,1.898734177,78.26086957,2.889447236,52.55474453,339,138,156,15.15151515,16.66666667,10.9375,17.1875,25,25
Howard Park/West Arlington,532,235,368,96.74008811,0.616740088,1.850220264,14.66165414,15.74468085,31.25,3.532608696,75.86206897,7.904834996,86.27906977,495,226,356,15.29411765,15.29411765,8.653846154,14.42307692,1.666666667,14.70588235
